date,store_id,item_id,dept_id,category,base_price,is_promo,sales
2020-01-01,1,1,3,Clothing,22.31,1,206
2020-01-02,1,1,3,Clothing,22.31,0,84
2020-01-03,1,1,3,Clothing,22.31,0,96
2020-01-04,1,1,3,Clothing,22.31,0,130
2020-01-05,1,1,3,Clothing,22.31,0,92
2020-01-06,1,1,3,Clothing,22.31,0,92
2020-01-07,1,1,3,Clothing,22.31,0,68
2020-01-08,1,1,3,Clothing,22.31,0,73
2020-01-09,1,1,3,Clothing,22.31,0,79
2020-01-10,1,1,3,Clothing,22.31,0,100
2020-01-11,1,1,3,Clothing,22.31,0,108
2020-01-12,1,1,3,Clothing,22.31,0,124
2020-01-13,1,1,3,Clothing,22.31,0,83
2020-01-14,1,1,3,Clothing,22.31,0,72
2020-01-15,1,1,3,Clothing,22.31,0,0
2020-01-16,1,1,3,Clothing,22.31,0,62
2020-01-17,1,1,3,Clothing,22.31,0,97
2020-01-18,1,1,3,Clothing,22.31,0,128
2020-01-19,1,1,3,Clothing,22.31,0,83
2020-01-20,1,1,3,Clothing,22.31,0,70
2020-01-21,1,1,3,Clothing,22.31,0,61
2020-01-22,1,1,3,Clothing,22.31,0,80
2020-01-23,1,1,3,Clothing,22.31,0,0
2020-01-24,1,1,3,Clothing,22.31,0,106
2020-01-25,1,1,3,Clothing,22.31,0,119
2020-01-26,1,1,3,Clothing,22.31,0,99
2020-01-27,1,1,3,Clothing,22.31,0,85
2020-01-28,1,1,3,Clothing,22.31,0,62
2020-01-29,1,1,3,Clothing,22.31,0,78
2020-01-30,1,1,3,Clothing,22.31,0,69
2020-01-31,1,1,3,Clothing,22.31,1,139
2020-02-01,1,1,3,Clothing,22.31,0,135
2020-02-02,1,1,3,Clothing,22.31,0,118
2020-02-03,1,1,3,Clothing,22.31,0,97
2020-02-04,1,1,3,Clothing,22.31,0,68
2020-02-05,1,1,3,Clothing,22.31,0,59
2020-02-06,1,1,3,Clothing,22.31,0,93
2020-02-07,1,1,3,Clothing,22.31,0,93
2020-02-08,1,1,3,Clothing,22.31,0,131
2020-02-09,1,1,3,Clothing,22.31,0,109
2020-02-10,1,1,3,Clothing,22.31,0,93
2020-02-11,1,1,3,Clothing,22.31,0,79
2020-02-12,1,1,3,Clothing,22.31,0,90
2020-02-13,1,1,3,Clothing,22.31,0,87
2020-02-14,1,1,3,Clothing,22.31,0,116
2020-02-15,1,1,3,Clothing,22.31,0,126
2020-02-16,1,1,3,Clothing,22.31,0,109
2020-02-17,1,1,3,Clothing,22.31,0,81
2020-02-18,1,1,3,Clothing,22.31,0,78
2020-02-19,1,1,3,Clothing,22.31,1,146
2020-02-20,1,1,3,Clothing,22.31,0,76
2020-02-21,1,1,3,Clothing,22.31,0,104
2020-02-22,1,1,3,Clothing,22.31,0,129
2020-02-23,1,1,3,Clothing,22.31,0,119
2020-02-24,1,1,3,Clothing,22.31,0,77
2020-02-25,1,1,3,Clothing,22.31,0,82
2020-02-26,1,1,3,Clothing,22.31,0,77
2020-02-27,1,1,3,Clothing,22.31,0,79
2020-02-28,1,1,3,Clothing,22.31,0,95
2020-02-29,1,1,3,Clothing,22.31,1,311
2020-03-01,1,1,3,Clothing,22.31,0,105
2020-03-02,1,1,3,Clothing,22.31,0,93
2020-03-03,1,1,3,Clothing,22.31,0,85
2020-03-04,1,1,3,Clothing,22.31,0,64
2020-03-05,1,1,3,Clothing,22.31,0,83
2020-03-06,1,1,3,Clothing,22.31,0,0
2020-03-07,1,1,3,Clothing,22.31,0,129
2020-03-08,1,1,3,Clothing,22.31,0,117
2020-03-09,1,1,3,Clothing,22.31,0,98
